Talasna duzina_Tirkizna [nm]	 Intenzitet svetlosti_Tirkizna [cd]
423.216	133.6799927
423.803	141
424.389	138.5200043
424.976	151.8999939
425.562	155.1799927
426.148	167.2200012
426.735	165.3200073
427.321	172.1999969
427.907	177.1999969
428.494	188.3200073
429.080	192.3600006
429.666	201.4199982
430.252	226.7400055
430.838	240.7599945
431.424	247.0200043
432.010	248.0399933
432.596	286.6799927
433.182	309.2399902
433.768	311.5
434.354	355.5599976
434.940	379.5799866
435.526	407.9599915
436.111	427.480011
436.697	485.8999939
437.283	517.8200073
437.869	536.3599854
438.454	613.9400024
439.040	667
439.625	720.539978
440.211	764.3200073
440.796	838.2999878
441.382	928.0999756
441.967	975.4400024
442.553	1086.800049
443.138	1192.939941
443.723	1292.579956
444.309	1424.160034
444.894	1539.599976
445.479	1698.560059
446.064	1847.920044
446.650	2064.100098
447.235	2184.860107
447.820	2387.899902
448.405	2617
448.990	2813
449.575	3107.620117
450.160	3410.97998
450.745	3749.179932
451.330	4069.399902
451.915	4520.680176
452.499	4883.459961
453.084	5414.200195
453.669	5878.859863
454.254	6452.700195
454.838	7074.359863
455.423	7865.319824
456.008	8561.55957
456.592	9467.679688
457.177	10374.51953
457.761	11179.75977
458.346	12329.13965
458.930	13337.05957
459.514	14508.94043
460.099	15563.87988
460.683	16899.90039
461.267	18160.59961
461.852	19456.74023
462.436	20517.17969
463.020	21488.09961
463.604	22602.75977
464.188	23612.01953
464.772	24259.64063
465.356	24846.19922
465.940	25390.66016
466.524	25711.2207
467.108	25767.74023
467.692	25856.35938
468.276	25582.16016
468.860	25130.30078
469.444	24723.30078
470.028	24133.11914
470.611	23197.98047
471.195	22435.7793
471.779	21518.88086
472.362	20777.7793
472.946	19580.43945
473.529	18597.08008
474.113	17702
474.696	16684.25977
475.280	15790.58008
475.863	14947.13965
476.447	14129.7998
477.030	13412.32031
477.613	12763.71973
478.197	12167.08008
478.780	11642.41992
479.363	11134.5
479.946	10649.12012
480.529	10170.90039
481.112	9805.080078
481.695	9424.759766
482.278	8966.719727
482.861	8677.200195
483.444	8309.379883
484.027	8060.640137
484.610	7720.779785
485.193	7352.839844
485.776	7097.600098
486.358	6816.839844
486.941	6555.319824
487.524	6286.779785
488.106	6071.560059
488.689	5903.100098
489.272	5657.200195
489.854	5475.859863
490.437	5349.200195
491.019	5200.879883
491.602	5141
492.184	5092.459961
492.766	5045.859863
493.349	5054.439941
493.931	5061.560059
494.513	5081.439941
495.095	5195.240234
495.678	5299.279785
496.260	5473.120117
496.842	5601.279785
497.424	5768.120117
498.006	6036.060059
498.588	6309.060059
499.170	6566.939941
499.752	6937.100098
500.334	7280.259766
500.916	7710.939941
501.497	8092.899902
502.079	8631.400391
502.661	9167.459961
503.243	9760.280273
503.824	10467.71973
504.406	11214.95996
504.987	11948.17969
505.569	12807.08008
506.151	13849.71973
506.732	14815.04004
507.313	15869.62012
507.895	17048.06055
508.476	18266.56055
509.058	19699.61914
509.639	21134.96094
510.220	22725.69922
510.801	24337.46094
511.382	26020.03906
511.964	27866.98047
512.545	29716.14063
513.126	31728.48047
513.707	33653.10156
514.288	35864.55859
514.869	37912
515.450	40087.23828
516.031	42191.67969
516.611	44255.64063
517.192	46320.16016
517.773	48327.85938
518.354	50199.42188
518.934	51968.71875
519.515	53839.44141
520.096	55468.33984
520.676	56858.83984
521.257	58361.83984
