Talasna duzina_Zuta [nm]	 Intenzitet svetlosti_Zuta [cd]
375.012	108.6600037
375.601	104.1999969
376.190	98.77999878
376.779	106.7399979
377.368	85.51999664
377.957	105.5199966
378.546	97.23999786
379.135	101.9599991
379.724	107.6800003
380.313	104.8799973
380.902	98.05999756
381.491	100.9199982
382.080	107.9199982
382.669	90.31999969
383.257	110.6399994
383.846	107.3000031
384.435	108.3000031
385.023	92.66000366
385.612	102.3000031
386.201	112.5199966
386.789	107.2399979
387.378	95.51999664
387.966	93.66000366
388.555	96.13999939
389.143	110.9800034
389.732	100.6999969
390.320	96.01999664
390.908	105.8799973
391.497	94.76000214
392.085	97.86000061
392.673	95.90000153
393.261	99.13999939
393.849	99.40000153
394.438	113.3399963
395.026	98.73999786
395.614	106.9199982
396.202	109.5
396.790	105.1600037
397.378	103.5599976
397.966	109.8399963
398.554	108.9800034
399.142	99.68000031
399.729	93.23999786
400.317	112.0800018
400.905	104.1600037
401.493	108.5599976
402.080	115.1600037
402.668	93.62000275
403.256	97.22000122
403.843	115.2399979
404.431	104
405.019	101.3799973
405.606	113.4800034
406.194	90.27999878
406.781	101.4800034
407.368	108.3000031
407.956	109.9400024
408.543	104.8199997
409.131	108.3399963
409.718	101.4800034
410.305	99.30000305
410.892	110.2799988
411.479	107.1999969
412.067	108.0199966
412.654	112.8600006
413.241	103.2799988
413.828	106.6999969
414.415	111.6600037
415.002	109.0999985
415.589	112.8799973
416.176	97.51999664
416.763	105.6600037
417.350	106.4400024
417.936	110.7399979
418.523	111.1399994
419.110	112.4199982
419.697	111.0800018
420.283	123.6800003
420.870	114.8799973
421.457	114.1999969
422.043	111.9400024
422.630	105.0400009
423.216	101.6999969
423.803	111.6399994
424.389	102.5800018
424.976	103.2600021
425.562	110.5999985
426.148	112.8600006
426.735	106.4199982
427.321	115.5
427.907	111.8399963
428.494	107.4400024
429.080	103.6399994
429.666	131.1799927
430.252	115.5800018
430.838	103.8399963
431.424	117.3399963
432.010	117.5199966
432.596	113.6800003
433.182	121.3600006
433.768	110.2799988
434.354	129.5800018
434.940	123.0400009
435.526	123.7399979
436.111	108
436.697	115.4400024
437.283	111.0400009
437.869	130.0200043
438.454	126.4199982
439.040	132.7799988
439.625	130.8200073
440.211	127.4400024
440.796	132.3999939
441.382	107.3199997
441.967	126.1600037
442.553	120.5599976
443.138	127.3199997
443.723	152.0200043
444.309	141.5
444.894	147.6399994
445.479	143.8600006
446.064	147.6399994
446.650	142.0599976
447.235	159
447.820	164.2200012
448.405	153.1999969
448.990	149.0800018
449.575	152.1399994
450.160	163
450.745	170.1600037
451.330	162.3999939
451.915	162.0399933
452.499	166.8999939
453.084	180.6399994
453.669	188.0399933
454.254	179.1199951
454.838	185.8999939
455.423	184.6600037
456.008	175.5800018
456.592	192.6000061
457.177	195.5599976
457.761	186.8600006
458.346	188.8200073
458.930	192.1999969
459.514	189.3200073
460.099	188.0399933
460.683	196.3999939
461.267	200.0800018
461.852	198.5399933
462.436	197.5800018
463.020	197.5
463.604	214.1000061
464.188	216.0399933
464.772	221.1000061
465.356	226.1999969
465.940	222.4199982
466.524	217.8600006
467.108	237.9600067
467.692	238.7200012
468.276	244.6399994
468.860	246.3600006
469.444	262.6799927
470.028	253.0800018
470.611	278.4599915
471.195	287.9200134
471.779	278.1799927
472.362	312.480011
472.946	322.3599854
473.529	331.5799866
474.113	344.5799866
474.696	357.2399902
475.280	377.5599976
475.863	397.3599854
476.447	425.4200134
477.030	437.2000122
477.613	458.5400085
478.197	486.480011
478.780	505.8399963
479.363	532.539978
479.946	583.1799927
480.529	615.5999756
481.112	650.8800049
481.695	693.2999878
482.278	748.0999756
482.861	787.8200073
483.444	846.5999756
484.027	886.4199829
484.610	939.2800293
485.193	993.9199829
485.776	1076.660034
486.358	1173.219971
486.941	1240.040039
487.524	1315.420044
488.106	1412.719971
488.689	1490.680054
489.272	1611.359985
489.854	1697.73999
490.437	1818.640015
491.019	1971.079956
491.602	2101.100098
492.184	2259.419922
492.766	2412.959961
493.349	2598.340088
493.931	2789.840088
494.513	2922.419922
495.095	3160.120117
495.678	3391.47998
496.260	3605.639893
496.842	3900.26001
497.424	4183.839844
498.006	4528.859863
498.588	4845.459961
499.170	5223.439941
499.752	5581.740234
500.334	6031.740234
500.916	6500.399902
501.497	6987.97998
502.079	7492.959961
502.661	8069.359863
503.243	8706.740234
503.824	9420.860352
504.406	10150.05957
504.987	10948.16016
505.569	11820.05957
506.151	12764.33984
506.732	13809.87988
507.313	14875.87988
507.895	16076.36035
508.476	17322.82031
509.058	18625.51953
509.639	20054.96094
510.220	21516.17969
510.801	23172
511.382	24855.46094
511.964	26610.74023
512.545	28417.58008
513.126	30237.93945
513.707	32229.06055
514.288	34244.57813
514.869	36210.92188
515.450	38184.98047
516.031	40397.30078
516.611	42322.67969
517.192	44227.48047
517.773	46108.44141
518.354	47994.14063
518.934	49693.26172
519.515	51395.26172
520.096	52967.80078
520.676	54427.83984
521.257	55720.28125
521.837	56741.26172
522.418	57914.37891
522.998	58675.37891
523.579	59537.66016
524.159	60103.80078
524.739	60437.66016
525.320	60711.71875
525.900	60814.42188
526.480	60717.46094
527.060	60565.73828
527.640	60177.12109
528.220	59771.30078
528.800	59144.66016
529.380	58542.73828
529.960	57705.48047
530.540	56754.23828
531.120	55682.55859
531.700	54790.19922
532.280	53607.71875
532.860	52413.16016
533.440	51329.51953
534.019	49990.83984
534.599	48690.64063
535.179	47553.07813
535.758	46243
536.338	44766.5
536.917	43459.51953
537.497	42274.30078
538.076	41037.12109
538.656	39755.39844
539.235	38592.85938
539.814	37455.87891
540.393	36328.55859
540.973	35051.26172
541.552	34013.69922
542.131	33052.87891
542.710	31931.2793
543.289	30973.51953
543.868	30059.91992
544.447	29055.30078
545.026	28166.93945
545.605	27305.06055
546.184	26378.58008
546.763	25470.06055
547.342	24646.01953
547.921	23725.46094
548.499	22932.7793
549.078	22073.59961
549.657	21269.38086
550.235	20497.91992
550.814	19743.08008
551.393	18907.2207
551.971	18149.82031
552.550	17485.66016
553.128	16741.30078
553.706	16115.13965
554.285	15394.71973
554.863	14823.09961
555.441	14152.91992
556.020	13614.87988
556.598	13101.13965
557.176	12516.04004
557.754	11920.95996
558.332	11380
558.910	10947.62012
559.488	10513.37988
560.066	10061.5
560.644	9606.339844
561.222	9255.019531
561.800	8818.160156
562.378	8488.900391
562.955	8146.279785
563.533	7796.899902
564.111	7488.140137
564.688	7198.319824
