Talasna duzina_Plava [nm]	 Intenzitet svetlosti_Plava [cd]
791.761	-7.059999943
792.321	1.039999962
792.881	-10.68000031
793.441	-1.539999962
794.001	-5.340000153
794.560	-11.56000042
795.120	-6.599999905
795.680	-8.800000191
796.239	-2.660000086
796.799	-13.10000038
797.358	-11.65999985
797.918	2.5
798.477	-1.840000033
799.036	-2.180000067
799.596	-0.239999995
800.155	-5
800.714	-4.340000153
801.273	-12.14000034
801.832	-2.559999943
802.391	-4.900000095
802.950	-1.019999981
803.509	-10.22000027
804.068	-9.93999958
804.627	0.899999976
805.186	-11.26000023
805.744	-10.31999969
806.303	5.519999981
806.862	1.080000043
807.420	-6.159999847
807.979	-4.179999828
808.537	-9.119999886
809.096	-15.89999962
809.654	-5.679999828
810.212	-7.360000134
810.771	-3.640000105
811.329	-7.400000095
811.887	-2.24000001
812.445	-8.920000076
813.003	-5.460000038
813.561	-5.460000038
814.119	0.059999999
814.677	-3.799999952
815.235	-2.140000105
815.793	-10.81999969
816.351	-12.77999973
816.908	-1.559999943
817.466	-5.940000057
818.024	-7.460000038
818.581	-7.639999866
819.139	0.460000008
819.696	-5.019999981
820.253	-16.97999954
820.811	-2.539999962
821.368	-10.42000008
821.925	-0.75999999
822.483	-12.72000027
823.040	-13.19999981
823.597	-7.920000076
824.154	-6.78000021
824.711	-9.56000042
825.268	-7.800000191
825.825	-16.97999954
826.382	-6.119999886
826.939	6.940000057
827.495	-19.62000084
828.052	-7
828.609	-6.400000095
829.165	-14.97999954
829.722	-11.30000019
830.278	-0.079999998
830.835	-7.380000114
831.391	-12.88000011
831.948	-9.739999771
832.504	-9.300000191
833.060	2.420000076
833.616	-5.079999924
834.172	-2.24000001
834.729	-8.539999962
835.285	-2.680000067
835.841	-12.47999954
836.397	-10.31999969
836.952	-10.11999989
837.508	-3.859999895
838.064	-7.199999809
838.620	-11.42000008
839.176	-6.300000191
839.731	-0.74000001
840.287	1
840.842	-5.400000095
841.398	-9.760000229
841.953	-14.11999989
842.509	2.920000076
843.064	-15.57999992
843.619	-11.46000004
844.174	-7
844.730	-1.799999952
845.285	-11.84000015
845.840	-10.85999966
846.395	2.400000095
846.950	-8.239999771
847.505	-9.739999771
848.060	-8.079999924
848.614	-2.640000105
849.169	-14.47999954
849.724	0.400000006
850.278	-22.71999931
850.833	-1.080000043
851.388	-0.280000001
851.942	-10.60000038
852.497	-3.019999981
853.051	-17.55999947
853.605	-8.06000042
854.160	-4.300000191
854.714	-5.679999828
855.268	-10.07999992
855.822	-0.02
856.376	-6.539999962
856.930	-2.299999952
857.484	-4.400000095
858.038	-14.34000015
858.592	-3.380000114
859.146	-3.24000001
859.700	2.25999999
860.253	-10.84000015
860.807	-5.380000114
861.361	-8.819999695
861.914	-4.940000057
862.468	-2.880000114
863.021	-1.220000029
863.575	-10.56000042
864.128	-10.77999973
864.681	-7.179999828
865.235	5.300000191
865.788	-11.57999992
866.341	-3.5
866.894	-2.480000019
867.447	-1
868.000	-14.19999981
868.553	0.600000024
869.106	-4.980000019
869.659	-3.799999952
870.211	1.919999957
870.764	-5.78000021
871.317	-3.839999914
871.870	-4.619999886
872.422	-3.779999971
872.975	-18.04000092
873.527	-5.599999905
874.079	-8.880000114
874.632	-0.340000004
875.184	-11.73999977
875.736	-21.42000008
876.289	-5.440000057
876.841	-6.199999809
877.393	-2.799999952
877.945	-11.80000019
878.497	-10.02000046
879.049	-6.980000019
879.601	-8
880.152	-17.62000084
880.704	-5.420000076
881.256	3.859999895
881.808	-4.579999924
882.359	-9.760000229
882.911	-5.139999866
883.462	-11.68000031
884.014	-7.960000038
884.565	-6.760000229
885.117	-12.02000046
885.668	0.980000019
886.219	-14.60000038
886.770	-11.30000019
887.321	-8.840000153
887.872	-8.819999695
888.424	-7.239999771
888.974	-17.18000031
889.525	-4.639999866
890.076	-5.760000229
890.627	-18.15999985
891.178	-23.54000092
891.729	-1.25999999
892.279	-11.35999966
892.830	-12.14000034
893.380	-17.57999992
893.931	-1.860000014
894.481	-4.739999771
895.032	-6.059999943
895.582	-13.18000031
896.132	-11.97999954
896.682	-13.57999992
897.233	-13.23999977
897.783	-10.18000031
898.333	-9.739999771
898.883	-8.239999771
899.433	-13.68000031
899.983	-16.94000053
900.533	-12.43999958
901.082	-12.81999969
901.632	-5.920000076
902.182	-8.399999619
902.731	-10.52000046
903.281	-14.57999992
903.831	-13.31999969
904.380	-13.43999958
904.929	-14.97999954
905.479	-16.15999985
906.028	-7.71999979
906.577	0.079999998
907.127	-2.619999886
907.676	-20.92000008
908.225	-11.02000046
908.774	-8.680000305
909.323	-9.319999695
909.872	-8.720000267
910.421	-25.97999954
