Talasna duzina_Ljubicasta [nm]	 Intenzitet svetlosti_Ljubicasta [cd]
631.994	41460.30078
632.567	37681
633.140	34097.35938
633.713	31029.96094
634.285	27698.59961
634.858	24781.64063
635.431	21826.67969
636.003	19144.83984
636.576	16661.96094
637.148	14453.67969
637.721	12614.90039
638.293	11043.45996
638.865	9745.679688
639.438	8671.959961
640.010	7739.640137
640.582	6937.97998
641.154	6164.600098
641.727	5469.399902
642.299	4907.5
642.871	4274.640137
643.443	3773.300049
644.015	3344.120117
644.587	2970.120117
645.159	2663.540039
645.730	2357.76001
646.302	2135.840088
646.874	1902.859985
647.446	1736.579956
648.017	1577.819946
648.589	1413.619995
649.161	1292.619995
649.732	1170.060059
650.304	1055.920044
650.875	957.6799927
651.446	892.7800293
652.018	817.8800049
652.589	745.2399902
653.160	728.7600098
653.732	664.0999756
654.303	608.3800049
654.874	685.3800049
655.445	678.0599976
656.016	562.5200195
656.587	608.4400024
657.158	452.2200012
657.729	581.1400146
658.300	365.4599915
658.871	401.0599976
659.442	286.1000061
660.012	286.2399902
660.583	234.8000031
661.154	228.1399994
661.724	202.4600067
662.295	203.8600006
662.866	191.1999969
663.436	182.1199951
664.007	165.8999939
664.577	160.3000031
665.147	142.7400055
665.718	156.9600067
666.288	139.6000061
666.858	130.2400055
667.428	131.5599976
667.999	137.6600037
668.569	142.2400055
669.139	127.5599976
669.709	125.8199997
670.279	133.1199951
670.849	135.3600006
671.418	134.7799988
671.988	121.1800003
672.558	126.5599976
673.128	132.2400055
673.698	139.0599976
674.267	130.2400055
674.837	148.1199951
675.406	132.1600037
675.976	139.2799988
676.545	149.7400055
677.115	150.9199982
677.684	143.6399994
678.254	143.8399963
678.823	151.1199951
679.392	145.1199951
679.961	149.2599945
680.531	157.9199982
681.100	159.6999969
681.669	168.9799957
682.238	159.0200043
682.807	181.3000031
683.376	172.5800018
683.945	175.3000031
684.514	180.4400024
685.082	179.4600067
685.651	150.3600006
686.220	177.1000061
686.789	171.5
687.357	176.4199982
687.926	162.9600067
688.494	159.7799988
689.063	153.8800049
689.631	165.0599976
690.200	155.2200012
690.768	157.2400055
691.337	159.1799927
691.905	148.8999939
692.473	163.5599976
693.041	162.5
693.609	157.1600037
694.178	165.9799957
694.746	141.8399963
695.314	144.8200073
695.882	155.6999969
696.450	141.2200012
697.017	151.2400055
697.585	144.2200012
698.153	155.1199951
698.721	139.9600067
699.288	143.7799988
699.856	135.5200043
700.424	134.2400055
700.991	136.1399994
701.559	143.8000031
702.126	140.8399963
702.694	135.4199982
703.261	140.7400055
703.828	131.2200012
704.396	144.1000061
704.963	127.3000031
705.530	132.8600006
706.097	123.8399963
706.664	133.1199951
707.232	121.6800003
707.799	133.1199951
708.365	139.3399963
708.932	139.9199982
709.499	125.5599976
710.066	122.0599976
710.633	122.3199997
711.200	121.7399979
711.766	123.9800034
712.333	122.5800018
712.900	119.5
713.466	120.3799973
714.033	116.0199966
714.599	122.2200012
715.166	119.8600006
715.732	112.5599976
716.298	110.7200012
716.865	109.3000031
717.431	113.3399963
717.997	113.3799973
718.563	100.1600037
719.129	103.7600021
719.695	100.6399994
720.261	106.5
720.827	104.7200012
721.393	102.3399963
721.959	95.45999908
722.525	85.41999817
723.091	106.3000031
723.656	96.72000122
724.222	84.98000336
724.788	92.80000305
725.353	92.01999664
725.919	102.1800003
